Country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Bangladesh,BGD,Agricultural land (% of land area),AG.LND.AGRI.ZS,,72.82784052,72.80479373,72.82784052,73.13513098,74.0339556,74.133825,74.47952677,74.27978797,74.32588154,74.4948913,74.47952677,76.75347622,76.7381117,76.7381117,76.85334562,76.80725206,76.75347622,76.72274718,76.69201813,76.72274718,76.67665361,76.65360682,76.54605516,77.28355228,77.03003764,77.13758931,77.70607667,80.10294231,80.22585849,79.78796958,79.28094031,73.35791657,72.56664362,71.89060459,72.01352078,71.65245448,71.94438043,72.47445648,72.87393409,72.21325958,72.23630637,71.85219329,71.66013674,71.62172544,71.5295383,71.29138818,71.18383652,71.08396712,71.03019129,70.99177998,70.12368441,70.06222632,69.97003918,69.90089882,70.38672505,70.63232696,70.579473,70.69447645,72.1902128,72.44372743,72.35154029,72.37064333,72.31112479,
Bulgaria,BGR,Agricultural land (% of land area),AG.LND.AGRI.ZS,,51.27903824,51.38750791,51.45982103,52.17391304,52.36373497,52.44508723,52.99647474,53.15917925,54.43369791,54.32522824,54.3161891,54.43369791,54.07213233,54.57832414,53.82807557,56.02458646,56.09689958,56.14209527,56.09689958,55.87092109,55.85284281,55.87996023,55.83476453,55.78956883,55.76245141,55.735334,55.735334,55.69917744,55.75341228,55.67206002,55.6901383,55.62686432,55.32857272,55.67206002,55.71725572,55.71725572,56.06978216,51.02594233,51.33327307,50.45647654,49.69718883,48.94301471,48.96570746,49.00698786,48.46281296,47.77685722,47.1043182,46.96620937,46.33382461,46.53647752,46.86809138,47.19049374,46.01142225,45.84561533,46.16709654,46.25092115,46.3294031,46.33382461,46.39830508,46.49042004,46.49042004,46.26013265,46.08502211,
Bahrain,BHR,Agricultural land (% of land area),AG.LND.AGRI.ZS,,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.08450704,14.08450704,14.08450704,14.08450704,14.08450704,14.08450704,14.08450704,14.08450704,13.94366197,13.78873239,13.64788732,13.30555556,12.98630137,12.66216216,12.52702703,12.21333333,11.92105263,11.77631579,11.61417323,11.39504563,11.22077922,11.07792208,10.93385214,10.6940874,10.55198973,10.3974359,10.41131105,10.38461538,10.31847134,10.25316456,10.25316456,10.125,
"Bahamas, The",BHS,Agricultural land (% of land area),AG.LND.AGRI.ZS,,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.198801199,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,
Bosnia and Herzegovina,BIH,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.96875,42.7734375,42.578125,42.48046875,42.3828125,42.28515625,42.1875,41.11328125,41.6015625,41.5234375,41.46484375,42.36328125,42.37109375,42.12890625,42.16796875,41.97265625,41.6015625,41.5625,41.875,42.01171875,42.109375,42.20703125,42.12890625,42.5,43.14453125,43.515625,43.18359375,43.28125,43.7890625,44.19921875,21.81640625,21.73828125,
Belarus,BLR,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.27749744,46.10334562,46.06709451,46.03486011,46.00845929,45.87513248,45.88594333,45.75640299,45.61050639,45.0000986,44.4956096,44.3039847,44.16340014,44.12003964,44.14895714,43.94261241,43.94732432,43.99747656,43.85368306,43.73860332,43.35161829,42.93177203,42.48791711,42.24201638,42.03548978,41.84483812,41.64449699,41.32239549,40.79712287,40.27593003,39.87388541,39.57966923,
Belize,BLZ,Agricultural land (% of land area),AG.LND.AGRI.ZS,,3.463393249,3.463393249,3.507233669,3.507233669,3.507233669,3.55107409,3.55107409,3.55107409,3.594914511,3.594914511,3.638754932,3.638754932,3.682595353,3.682595353,3.726435774,3.726435774,3.770276195,4.077159141,4.120999562,4.208680403,4.252520824,4.252520824,4.252520824,4.252520824,4.427882508,4.515563349,4.910127137,5.0416484,5.260850504,5.523893029,5.699254713,5.962297238,6.269180184,6.269180184,6.400701447,6.444541868,6.488382288,6.488382288,6.57606313,6.532222709,6.532222709,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.795265235,6.882946076,6.882946076,7.014467339,7.014467339,7.014467339,7.452871548,7.452871548,7.540552389,7.540552389,7.628233231,7.891275756,7.978956598,7.978956598,7.978956598,
Bermuda,BMU,Agricultural land (% of land area),AG.LND.AGRI.ZS,,7.407407407,5.555555556,5.555555556,7.407407407,7.407407407,7.407407407,7.407407407,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,7.407407407,7.407407407,7.407407407,7.407407407,7.407407407,7.407407407,7.407407407,7.407407407,7.407407407,7.407407407,7.407407407,7.407407407,7.407407407,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,
Bolivia,BOL,Agricultural land (% of land area),AG.LND.AGRI.ZS,,27.73193021,27.63961968,27.51500046,27.58054094,27.61469584,27.64792763,27.68208253,27.71531432,27.93409028,27.96732207,28.3707191,28.86550355,28.90058156,29.39444291,29.89015047,29.92338226,30.41908982,30.45232161,30.94710606,30.98126096,31.47696852,31.51112342,31.54527832,32.04744761,32.01975445,32.4960768,32.51823133,32.53946275,32.74254592,32.72869934,33.04347826,33.07578695,33.42841318,33.55580172,33.78565494,33.86319579,34.0385858,34.13828118,34.21859134,34.28690114,34.2989015,34.44198283,33.82904089,33.80134773,34.11981907,34.28577292,34.41572565,34.53460103,34.65347651,34.77235198,34.89676609,35.02579562,35.15574836,35.28293178,35.28200868,35.15462014,35.02261608,35.26313025,35.54441512,35.56459097,35.68278796,35.83070147,35.83070147,
Brazil,BRA,Agricultural land (% of land area),AG.LND.AGRI.ZS,,18.77917814,19.22269787,19.6662176,20.10973733,20.55325706,20.99677679,21.44029653,21.88381626,22.32733599,22.77157358,23.1910449,23.61051622,24.02998753,24.44945885,24.86904981,25.45781717,26.04658453,26.63535188,27.22411924,27.81925261,28.04616817,28.27310861,28.50004905,28.7269895,28.9536556,28.78382032,28.61394999,28.44407966,28.27420933,28.104339,27.93446867,27.76459834,27.59472801,27.42485768,27.25546593,27.267873,27.28028006,27.29268713,27.3050942,27.31750126,27.32990833,27.3423154,27.35472246,27.36712953,27.3795366,27.39257777,27.47881706,27.56505634,27.65129562,27.73753491,27.82377419,27.91001347,27.99625275,28.08249204,28.16870739,28.2549706,28.34111417,28.33821879,28.33534734,28.33247589,28.32960443,28.32673298,28.32673298,
Barbados,BRB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,41.86046512,41.86046512,41.86046512,39.53488372,39.53488372,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,34.88372093,32.55813953,30.23255814,29.06976744,27.90697674,25.58139535,23.25581395,23.25581395,23.25581395,23.25581395,23.25581395,23.25581395,23.25581395,23.25581395,
Brunei Darussalam,BRN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,3.984819734,3.984819734,3.984819734,4.554079696,4.554079696,4.364326376,4.364326376,4.554079696,4.554079696,4.554079696,3.605313093,3.415559772,3.415559772,3.415559772,3.415559772,3.225806452,2.84629981,2.84629981,2.84629981,2.84629981,2.84629981,2.65654649,2.65654649,2.466793169,2.466793169,2.466793169,2.466793169,2.466793169,2.466793169,2.466793169,2.466793169,2.466793169,2.466793169,2.466793169,2.277039848,2.277039848,2.277039848,2.277039848,2.277039848,2.277039848,2.466793169,2.466793169,2.466793169,2.466793169,2.466793169,2.333965844,2.352941176,2.352941176,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,2.542694497,
Bhutan,BTN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,7.726387432,7.769192903,7.769192903,7.811998373,7.833401109,7.876206579,7.876206579,7.91901205,7.91901205,8.175844873,8.175844873,8.240053079,8.240053079,8.389872226,8.389872226,8.518288637,8.561094108,8.561094108,8.668107784,8.839329666,8.839329666,8.946343343,9.203176166,9.50281446,9.50281446,9.50281446,9.9522719,9.845258224,9.674036342,9.716841812,10.78697858,10.78697858,10.80838131,12.78894472,14.1959799,14.32160804,14.3718593,14.3718593,14.3718593,14.52261307,14.54773869,14.57286432,14.64824121,15.32124774,15.55736286,15.13760264,14.77031246,13.67631241,13.64220689,13.64220689,13.63171288,13.63171288,13.63171288,13.78912296,13.78912296,13.60633389,13.44903523,13.45044573,13.45044573,13.5422129,13.63398007,13.72574725,13.81751442,
Botswana,BWA,Agricultural land (% of land area),AG.LND.AGRI.ZS,,45.87722549,45.87722549,45.87722549,45.87722549,45.87899,45.87899,45.87899,45.87899,45.87899,45.87899,45.87899,45.8807545,45.8807545,45.8807545,45.8807545,45.8807545,45.8807545,45.8807545,45.88428352,45.88428352,45.88428352,45.88781254,45.88781254,45.88781254,45.89134156,45.89134156,45.89487057,45.89487057,45.90369312,45.91428017,45.70253913,45.61431369,45.79076456,45.87016745,45.78194202,45.78194202,45.70253913,45.57902352,45.59666861,45.79076456,45.52608826,45.60549115,45.51726572,45.57196549,45.55079138,45.52961728,45.49609161,45.66724895,45.73253578,45.63195878,45.74665184,45.67783601,45.66901346,45.88428352,45.63301749,45.63301749,45.63301749,45.63301749,45.63372329,45.63372329,45.63372329,45.63372329,45.63372329,
